# Industry: Investment banking and securities intermediation
# Series ID: CES5552315001
# Parent series: Securities, commodity contracts, funds, trusts, and other financial vehicles, investments, and related activities (CES5552300001)
# Generated: 2026-03-05
# Denominator options:
#   opt1: Level 4 parent (default) = Securities, commodity contracts, funds, trusts, and other financial vehicles, investments, and related activities
#   opt2: Level 3 parent = Finance and insurance
#   opt3: Level 2 parent = Financial activities
#   opt4: Goods/Service-providing total = Service-providing
#   opt5: Total private / Total government = Total private
date,employment_level,log_level,trend_log_level,predicted_level,resid_log_level,share_opt1,denom_employment_opt1,log_share_opt1,trend_log_share_opt1,predicted_share_opt1,resid_log_share_opt1,trend_raw_share_opt1,resid_raw_pct_dev_opt1,share_opt2,denom_employment_opt2,log_share_opt2,trend_log_share_opt2,predicted_share_opt2,resid_log_share_opt2,trend_raw_share_opt2,resid_raw_pct_dev_opt2,share_opt3,denom_employment_opt3,log_share_opt3,trend_log_share_opt3,predicted_share_opt3,resid_log_share_opt3,trend_raw_share_opt3,resid_raw_pct_dev_opt3,share_opt4,denom_employment_opt4,log_share_opt4,trend_log_share_opt4,predicted_share_opt4,resid_log_share_opt4,trend_raw_share_opt4,resid_raw_pct_dev_opt4,share_opt5,denom_employment_opt5,log_share_opt5,trend_log_share_opt5,predicted_share_opt5,resid_log_share_opt5,trend_raw_share_opt5,resid_raw_pct_dev_opt5
2000-01,510.7,6.2357823336535985,,,,0.6250917992656059,817.0,-0.4698567612064047,,,,,,0.08849419511349853,5771.0,-2.4248183210573684,,,,,,0.06573561590938344,7769.0,-2.722114401296823,,,,,,0.004800624165742325,106382.0,-5.339009334992397,,,,,,0.0046242303513219845,110440.0,-5.376445332390492,,,,,
2000-02,514.7,6.243584206658709,,,,0.6250151791135399,823.5,-0.469979342958986,,,,,,0.08920277296360486,5770.0,-2.416843152843436,,,,,,0.0662334319907348,7771.0,-2.7145699285505334,,,,,,0.004832319363076461,106512.0,-5.332428727181776,,,,,,0.004657033504944762,110521.0,-5.369376620473794,,,,,
2000-03,518.6,6.251132873104564,,,,0.6252712804436943,829.4,-0.4695696747077168,,,,,,0.08999253821993164,5762.7,-2.4080285207564116,,,,,,0.06676966653791683,7767.0,-2.7065063953150834,,,,,,0.004851353626821831,106898.0,-5.328497514659655,,,,,,0.004677508094993281,110871.0,-5.364989769193629,,,,,
2000-04,521.9,6.257475998649367,,,,0.6254044337926902,834.5,-0.4693567444525223,,,,,,0.09064225919622078,5757.8,-2.4008347376367674,,,,,,0.06722050489438433,7764.0,-2.6997769456395333,,,,,,0.0048686972340127805,107195.0,-5.324928886090664,,,,,,0.004698330962712231,111082.0,-5.360547947650691,,,,,
2000-05,526.5,6.26625133157403,,,,0.6262638277625787,840.7,-0.46798354656722113,,,,,,0.09148566463944396,5755.0,-2.391572989581953,,,,,,0.06783045606802371,7762.0,-2.690743980354821,,,,,,0.004899543081547381,107459.0,-5.318613326877283,,,,,,0.004745038663277997,110958.0,-5.350655698738901,,,,,
2000-06,530.1,6.273065667993761,,,,0.6259298618490967,846.9,-0.4685169559337929,,,,,,0.0920552227142485,5758.5,-2.3853666351152016,,,,,,0.06827666151468316,7764.0,-2.68418727629514,,,,,,0.004936075908113192,107393.0,-5.311184614030282,,,,,,0.004768115420594373,111176.0,-5.345804142172657,,,,,
2000-07,534.1,6.2805830873457245,,,,0.6265102639296188,852.5,-0.4675901218119471,,,,,,0.09273052415924442,5759.7,-2.378057581654495,,,,,,0.06877414370332217,7766.0,-2.676927422945888,,,,,,0.004967863753476388,107511.0,-5.30476535955062,,,,,,0.004796113540647085,111361.0,-5.33994936806726,,,,,
2000-08,538.7,6.289158829686488,,,,0.6264681939760438,859.9,-0.46765727373036264,,,,,,0.09332986832986834,5772.0,-2.3716150902072735,,,,,,0.06926835540696927,7777.0,-2.6697671090084554,,,,,,0.005008786529181505,107551.0,-5.296561602967092,,,,,,0.004835857339066582,111397.0,-5.331696846444167,,,,,
2000-09,546.3,6.303168275401672,,,,0.6278588667969198,870.1,-0.4654398721703069,,,,,,0.09444041074577325,5784.6,-2.3597862174967177,,,,,,0.07006540977298961,7797.0,-2.658326047907928,,,,,,0.0050726117961669885,107696.0,-5.283899446848823,,,,,,0.004895073564989874,111602.0,-5.319525974514048,,,,,
2000-10,549.0,6.3080984415095305,,,,0.6275720164609054,874.8,-0.465896847293082,,,,,,0.09489896458142469,5785.1,-2.3549424840535456,,,,,,0.07030349596619286,7809.0,-2.6549337521531444,,,,,,0.005096830495571606,107714.0,-5.279136403901838,,,,,,0.004918958148536408,111609.0,-5.314658529329461,,,,,
2000-11,551.3,6.312279125595638,,,,0.6268334280841387,879.5,-0.46707443858197506,,,,,,0.09513701939670048,5794.8,-2.3524371170718585,,,,,,0.0704716860539435,7823.0,-2.6525442660894427,,,,,,0.00510784568061372,107932.0,-5.276977552581113,,,,,,0.004931303445561558,111796.0,-5.312151935292131,,,,,
