# Industry: Recyclable material merchant wholesalers
# Series ID: CES4142393001
# Parent series: Merchant wholesalers, durable goods (CES4142300001)
# Generated: 2026-09-03
# Denominator options:
#   opt1: Level 4 parent (default) = Merchant wholesalers, durable goods
#   opt2: Level 3 parent = Wholesale trade
#   opt3: Level 2 parent = Trade, transportation, and utilities
#   opt4: Goods/Service-providing total = Service-providing
#   opt5: Total private / Total government = Total private
#   opt6: Total nonfarm = Total nonfarm
date,employment_level,log_level,trend_log_level,predicted_level,resid_log_level,share_opt1,denom_employment_opt1,log_share_opt1,trend_log_share_opt1,predicted_share_opt1,resid_log_share_opt1,trend_raw_share_opt1,resid_raw_pct_dev_opt1,hp_cf_log_share_opt1,predicted_share_hp_opt1,resid_log_share_hp_opt1,share_opt2,denom_employment_opt2,log_share_opt2,trend_log_share_opt2,predicted_share_opt2,resid_log_share_opt2,trend_raw_share_opt2,resid_raw_pct_dev_opt2,hp_cf_log_share_opt2,predicted_share_hp_opt2,resid_log_share_hp_opt2,share_opt3,denom_employment_opt3,log_share_opt3,trend_log_share_opt3,predicted_share_opt3,resid_log_share_opt3,trend_raw_share_opt3,resid_raw_pct_dev_opt3,hp_cf_log_share_opt3,predicted_share_hp_opt3,resid_log_share_hp_opt3,share_opt4,denom_employment_opt4,log_share_opt4,trend_log_share_opt4,predicted_share_opt4,resid_log_share_opt4,trend_raw_share_opt4,resid_raw_pct_dev_opt4,hp_cf_log_share_opt4,predicted_share_hp_opt4,resid_log_share_hp_opt4,share_opt5,denom_employment_opt5,log_share_opt5,trend_log_share_opt5,predicted_share_opt5,resid_log_share_opt5,trend_raw_share_opt5,resid_raw_pct_dev_opt5,hp_cf_log_share_opt5,predicted_share_hp_opt5,resid_log_share_hp_opt5,share_opt6,denom_employment_opt6,log_share_opt6,trend_log_share_opt6,predicted_share_opt6,resid_log_share_opt6,trend_raw_share_opt6,resid_raw_pct_dev_opt6,hp_cf_log_share_opt6,predicted_share_hp_opt6,resid_log_share_hp_opt6
2000-01,110.4,4.704110133842995,,,,0.0328884652049571,3356.8,-3.4146332843589833,,,,,,,,,0.018686210456830454,5908.1,-3.9799694358667894,,,,,,,,,0.004239142955880659,26043.0,-5.463394163216923,,,,,,,,,0.0010377695474798369,106382.0,-6.870681534803,,,,,,,,,0.0009996378123868165,110440.0,-6.9081175322010955,,,,,,,,,0.0008426773324377343,131011.0,-7.078926434280704,,,,,,,,
2000-02,109.6,4.696837374513915,,,,0.032654034084137765,3356.4,-3.4217868754819993,,,,,,,,,0.01854578066568523,5909.7,-3.9875129731765044,,,,,,,,,0.004205517823567783,26061.0,-5.471357848414115,,,,,,,,,0.0010289920384557608,106512.0,-6.87917555932657,,,,,,,,,0.0009916667420671185,110521.0,-6.916123452618588,,,,,,,,,0.000835875533862111,131120.0,-7.087030838903797,,,,,,,,
2000-03,110.4,4.704110133842995,,,,0.03283466674597746,3362.3,-3.4162704087442175,,,,,,,,,0.01863071029583003,5925.7,-3.9829439686418637,,,,,,,,,0.004226969905812084,26118.0,-5.466269876937358,,,,,,,,,0.0010327602013134017,106898.0,-6.8755202539212235,,,,,,,,,0.0009957518196823335,110871.0,-6.912012508455199,,,,,,,,,0.000838880277195222,131604.0,-7.083442558705214,,,,,,,,
2000-04,111.0,4.709530201312334,,,,0.033003300330033,3363.3,-3.4111477125153233,,,,,,,,,0.018770609622051238,5913.5,-3.9754629503788377,,,,,,,,,0.00423923006416132,26184.0,-5.463373614868682,,,,,,,,,0.001035496058584822,107195.0,-6.872874683427698,,,,,,,,,0.0009992618065933275,111082.0,-6.908493744987725,,,,,,,,,0.0008416487216038337,131884.0,-7.080147826016948,,,,,,,,
2000-05,110.1,4.701389043728634,,,,0.03279323285875975,3357.4,-3.4175331001596794,,,,,,,,,0.018653113087674714,5902.5,-3.981742225231034,,,,,,,,,0.00421548357454629,26118.0,-5.4689909670517185,,,,,,,,,0.0010245768153435263,107459.0,-6.883475614722679,,,,,,,,,0.000992267344400584,110958.0,-6.915517986584297,,,,,,,,,0.0008334279550357669,132105.0,-7.089963296179035,,,,,,,,
2000-06,110.5,4.705015520957808,,,,0.03295654508037818,3352.9,-3.4125654010255007,,,,,,,,,0.018711370756074847,5905.5,-3.978623878094094,,,,,,,,,0.004227237949502678,26140.0,-5.466206466220405,,,,,,,,,0.0010289311221401767,107393.0,-6.879234761066234,,,,,,,,,0.0009939195509822264,111176.0,-6.913854289208611,,,,,,,,,0.0008367218675934971,132063.0,-7.086018839479571,,,,,,,,
2000-07,111.1,4.7104306966455844,,,,0.033178044555933824,3348.6,-3.4058669303768587,,,,,,,,,0.018860237323238323,5890.7,-3.97069941843933,,,,,,,,,0.0042485659655831735,26150.0,-5.461173772847485,,,,,,,,,0.0010333826306145417,107511.0,-6.87491775025076,,,,,,,,,0.0009976562710464166,111361.0,-6.910101758767401,,,,,,,,,0.0008402153855461777,132228.0,-7.081852287630193,,,,,,,,
2000-08,110.3,4.703203926259457,,,,0.033036810734717106,3338.7,-3.4101328623880325,,,,,,,,,0.018759460516693027,5879.7,-3.9760570929234675,,,,,,,,,0.004213300737232133,26179.0,-5.469508915377886,,,,,,,,,0.0010255599668994243,107551.0,-6.882516506394123,,,,,,,,,0.000990152338034238,111397.0,-6.917651749871199,,,,,,,,,0.0008341273802501626,132234.0,-7.089124433155289,,,,,,,,
2000-09,109.1,4.692264892839025,,,,0.03277161995734583,3329.1,-3.4181923833356027,,,,,,,,,0.018603461505669706,5864.5,-3.9844076131225346,,,,,,,,,0.0041680993314231135,26175.0,-5.480295142899712,,,,,,,,,0.0010130366958847124,107696.0,-6.89480282941147,,,,,,,,,0.0009775810469346427,111602.0,-6.930429357076694,,,,,,,,,0.0008244104067645481,132337.0,-7.100842085586903,,,,,,,,
2000-10,108.8,4.689511334421843,,,,0.03275135460565924,3322.0,-3.418810955751398,,,,,,,,,0.018552938969698,5864.3,-3.9871270674540447,,,,,,,,,0.004153781544687512,26193.0,-5.483736144057075,,,,,,,,,0.0010100822548600925,107714.0,-6.897723510989525,,,,,,,,,0.0009748317787992008,111609.0,-6.9332456364171495,,,,,,,,,0.0008220502901353965,132352.0,-7.10370898456615,,,,,,,,
